customer_id,gender,p3bkrel_pur,DOB,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,age,age_bracket,address,postcode,state,country,property_valuation
1,Female,93,1953-10-12,Health,Mass Customer,0,1,11.0,68,70,060 Morning Avenue,2016,NSW,Australia,10
2,Male,81,1980-12-16,Financial Services,Mass Customer,0,1,16.0,41,40,6 Meadow Vale Court,2153,NSW,Australia,10
4,Male,33,1961-10-03,IT,Mass Customer,0,0,7.0,60,60,0 Holy Cross Court,4211,QLD,Australia,9
6,Male,35,1966-09-16,Retail,High Net Worth,0,1,13.0,55,60,9 Oakridge Court,3216,VIC,Australia,9
7,Female,6,1976-02-23,Financial Services,Affluent Customer,0,1,11.0,46,50,4 Delaware Trail,2210,NSW,Australia,9
9,Female,97,1973-03-10,Argiculture,Affluent Customer,0,1,8.0,49,50,97736 7th Trail,2023,NSW,Australia,12
11,Male,99,1954-04-30,Property,Mass Customer,0,0,9.0,68,70,93405 Ludington Park,3044,VIC,Australia,8
12,Male,58,1994-07-21,Manufacturing,Mass Customer,0,0,8.0,27,30,44339 Golden Leaf Alley,4557,QLD,Australia,4
13,Male,38,1955-02-15,Financial Services,High Net Worth,0,1,8.0,67,70,2 Sutherland Street,3799,VIC,Australia,6
14,Female,85,1983-03-25,Financial Services,Affluent Customer,0,0,6.0,39,40,9 Mcbride Trail,2760,NSW,Australia,8
15,Male,91,2000-07-13,Manufacturing,Mass Customer,0,0,1.0,22,20,9861 New Castle Avenue,2428,NSW,Australia,9
19,Female,76,2001-04-15,Manufacturing,High Net Worth,0,0,1.0,21,20,59 Spaight Circle,2233,NSW,Australia,9
20,Male,72,1980-08-13,Manufacturing,Mass Customer,0,0,11.0,41,40,032 Bartelt Crossing,2444,NSW,Australia,8
21,Male,74,1980-09-20,Manufacturing,Affluent Customer,0,1,16.0,41,40,18 Jenna Center,2650,NSW,Australia,7
24,Female,55,1977-12-03,Argiculture,Mass Customer,0,1,15.0,44,40,3 Cordelia Plaza,2153,NSW,Australia,10
25,Male,72,1976-12-02,Financial Services,Mass Customer,0,1,21.0,45,40,28 5th Center,4413,QLD,Australia,3
26,Female,12,1978-06-10,Financial Services,Mass Customer,0,1,16.0,44,40,52 Carey Alley,4740,QLD,Australia,5
27,Male,37,1978-09-25,Health,Mass Customer,0,1,12.0,43,40,96 Texas Plaza,3218,VIC,Australia,7
28,Male,5,1973-09-30,Health,Affluent Customer,0,1,21.0,48,50,48 Eagan Avenue,4868,QLD,Australia,4
29,Female,62,1968-06-22,Manufacturing,Mass Customer,0,0,19.0,54,50,9 Buell Park,4116,QLD,Australia,7
30,Male,18,1961-10-18,IT,Affluent Customer,0,1,6.0,60,60,02663 Buell Parkway,2519,NSW,Australia,11
31,Female,3,1962-11-24,Telecommunications,High Net Worth,0,1,14.0,59,60,2294 Pleasure Place,2135,NSW,Australia,12
32,Female,17,1995-04-20,Manufacturing,Affluent Customer,0,0,4.0,27,30,2951 Petterle Place,2756,NSW,Australia,9
34,Unknown,59,1843-12-21,IT,Affluent Customer,0,0,20.0,178,180,833 Luster Way,4005,QLD,Australia,8
35,Female,40,1963-09-28,Health,High Net Worth,0,1,16.0,58,60,34 Russell Plaza,4127,QLD,Australia,6
37,Female,46,1985-12-22,Health,High Net Worth,0,0,16.0,36,40,54 Sage Plaza,4726,QLD,Australia,1
38,Female,37,1955-10-29,Financial Services,Affluent Customer,0,0,20.0,66,70,90 Lawn Parkway,4805,QLD,Australia,4
39,Male,5,1979-04-16,Entertainment,Mass Customer,0,0,22.0,43,40,38726 Ilene Crossing,2212,NSW,Australia,10
40,Female,91,1981-10-27,Manufacturing,Affluent Customer,0,0,14.0,40,40,3496 Brown Drive,2207,NSW,Australia,8
41,Male,64,1976-04-14,Health,Mass Customer,0,0,16.0,46,50,7188 Cody Way,3350,VIC,Australia,9
42,Female,24,1977-03-28,Manufacturing,Mass Customer,0,0,18.0,45,40,1 Claremont Park,3931,VIC,Australia,10
43,Female,38,1983-03-01,Retail,Mass Customer,0,0,5.0,39,40,60 Eagan Circle,4018,QLD,Australia,8
44,Male,63,1981-10-18,Entertainment,Affluent Customer,0,1,17.0,40,40,89314 Eagle Crest Center,4670,QLD,Australia,2
45,Male,64,1975-09-23,Financial Services,Mass Customer,0,0,8.0,46,50,2028 Lakewood Place,2480,NSW,Australia,3
47,Male,51,1992-10-22,Health,Affluent Customer,0,0,2.0,29,30,543 Killdeer Park,2322,NSW,Australia,4
50,Male,38,1980-10-01,Manufacturing,Mass Customer,0,1,16.0,41,40,957 Veith Junction,2047,NSW,Australia,10
51,Male,68,1959-12-05,Retail,Mass Customer,0,0,18.0,62,60,4853 Gulseth Avenue,4503,QLD,Australia,5
52,Male,57,1988-06-22,Financial Services,Mass Customer,0,1,13.0,34,30,9 Michigan Terrace,2145,NSW,Australia,8
53,Female,22,1954-04-18,Financial Services,Mass Customer,0,0,16.0,68,70,62 Steensland Road,4350,QLD,Australia,3
54,Female,2,1966-07-24,Property,Mass Customer,0,1,18.0,55,60,6 Homewood Avenue,2142,NSW,Australia,8
55,Male,48,1956-09-24,Financial Services,Affluent Customer,0,1,7.0,65,60,15 Almo Lane,2029,NSW,Australia,10
56,Male,44,1996-07-04,Property,Mass Customer,0,1,4.0,26,30,690 Glacier Hill Circle,2127,NSW,Australia,10
58,Female,26,1967-07-04,Financial Services,Affluent Customer,0,1,17.0,55,60,18 Elgar Park,2166,NSW,Australia,9
60,Female,18,1970-02-04,Manufacturing,Mass Customer,0,0,10.0,52,50,39 3rd Drive,2026,NSW,Australia,10
61,Female,47,1959-11-29,Property,High Net Worth,0,0,13.0,62,60,44516 Katie Parkway,2765,NSW,Australia,7
